 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

879418,201003,0601-1200,ZZZ.Airport,US,190,,,9500,,VMC,20,,Daylight,9500,,,Other UAV,UAV - Unpiloted Aerial Vehicle,,0,Part 91,None,Test Flight / Demonstration,,Cruise,Other COA,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Other Ground Control Station,Other UAV,Single Pilot; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 20; Flight Crew Total 500,,Training / Qualification; Workload; Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,879418,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"I was flying a UAV on a 4.2 hour flight. The test points were completed and we were building time on the aircraft.  We were in preprogramming mode; where the aircraft flies along predetermined waypoints.  When the last waypoint is reached; the aircraft reenters the first waypoint and flies another lap of the preprogram waypoints.  Around XA00; we had been flying the preprogramed mission for about an hour with no issues.  There is a two person crew.  The left seat is the pilot seat and the right seat is a sensor operator who operates the payload.  The sensor operator was reading a regulatory document; when I decided I wanted to move the payload.  When we fly overseas; the pilot will occasionally cover both the left seat and the right seat when the sensor operator steps out for a few minutes to use the bathroom or get meals for the aircrew.  I had a lapse in judgment and didn't think that this could be an issue when flying at home in public use airspace.  In certain instances UAV's are flown with only one aircrew member; but this was not authorized on this flight.  I switched seats with the sensor operator in the right seat for several seconds and moved the payload.  The sensor operator sat down in the left seat.  I then stood up to move back to the left seat when another pilot stepped in the ground control station (cockpit) and took over the left seat.  The flight was finished without incident; however in hindsight I should not have switched seats with a non-pilot which is unauthorized.  I need to break out of my single pilot mindset whenever a two person crew is required and focus only on flying the aircraft.  Even when flying in preprogram mode the pilot needs to remain vigilant and ready to react to any traffic advisory or emergency.",,,,"A UAV pilot reported that he allowed a non qualified person to sit in the left pilot seat during a mission on which a qualified pilot and sensor operator were required in both of their respective seats.",
915857,201010,0001-0600,ZLA.ARTCC,CA,,,,45000,,,,,,,,Center ZLA,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,,,,Cruise,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZLA.ARTCC,,Government,Other / Unknown,,,,,,,915857,,,,,,,,,,,,,,,,,,,,"A Global Hawk aircraft was filed too close to a restricted area. The Unmanned Aircraft System (UAS) program; as well as all remote programs; are growing exponentially. The military; and soon to be private sector; are pushing hard to get as many flights a day airborne as possible to further their testing of these aircraft. The FAA's position is cautionary as controllers attention shouldn't be distracted by flights above FL450. While they often use restricted airspace for testing; some of the recent flight plans are expansive and are completely outside Special Use (SUA) airspace. This will bring an increasing workload on the controllers and the National Airspace System (NAS). Confining them to SUA airspace and only allowing transit to and from is something the FAA will need to consider as flights per day increase. The other option is to create ultra ultra high sectors to deal with UAS aircraft. The military doesn't understand how the rules and regulations apply to UAS aircraft. Quite simply; they think they don't need to 'play' by the same rules since they are the only ones 'up there.' Next generation aircraft; private sector UAS; and military programs will all be vying for this newly accessible airspace. This report pertains to the massive amount of data to file flight plans for these UAS aircraft; and the lack of proper flight planning and deconfliction by the military for these flights which create several concerns on every flight. FL500B600 requires a minimum of 6 miles laterally from restricted airspace.",,,,"A Controller commented that military Unmanned Aircraft Systems (UAS) usage is growing rapidly. As aircraft expand beyond restricted airspace at altitudes above FL450 procedures need to be developed to prevent conflicts with other aircraft.",
965419,201108,,ZZZ.TRACON,US,,6,,7000,,VMC,,,Daylight,,,TRACON ZZZ,Military,UAV - Unpiloted Aerial Vehicle,,,Part 91,None,Training,,Cruise,None,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Autoflight System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Military,Pilot Flying,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Multiengine,Flight Crew Type 600,,,,,965419,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem; Flight Crew Regained Aircraft Control,Aircraft; Equipment / Tooling,Ambiguous,"During a ground station computer lock up; the aircraft momentarily received a link from the ground station during the pilot payload station swap. At that point the aircraft left its emergency lost link mission. The aircraft took up a westward heading and exceeded the authorized boundary to the west; when it was realized; the Ground Data link terminal was turned off and the aircraft returned to the authorized boundary and its Emergency mission. Another ground station was used to land the aircraft with no further incident.",,,,"MQ-9 pilot reports ground station computer lock up which results in the aircraft flying outside its designated boundary. When the terminal is turned off the aircraft returns to its emergency lost link mission. Another ground station is used for landing.",
966232,201108,0001-0600,ZAB.ARTCC,NM,280,15,,19000,,VMC,,,Night,,,Center ZAB,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,IFR,Utility / Infrastructure,,Cruise,None,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 8; Flight Crew Total 1700; Flight Crew Type 4,,Human-Machine Interface,,,966232,,,,,,,,,,,,Airspace Violation All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,In-flight,General None Reported / Taken,Human Factors,Human Factors,"An airspace deviation occurred during cruise flight at FL190 while operating in the SELLS/SELLS ONE MOA's in southern Arizona.",,,,"Predator pilot reports airspace deviation in southern Arizona.",
1001655,201203,1201-1800,ZZZ.ARTCC,US,,,,20000,,,,,Daylight,,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,IFR,,,Cruise,None,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aeroplane Flight Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Government,Pilot Flying,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 34.3; Flight Crew Total 2000; Flight Crew Type 180,,,,,1001655,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,,N,Person Flight Crew,In-flight,Flight Crew FLC complied w / Automation / Advisory,Aircraft,Aircraft,"My UAV was conducting assigned missions at FL200 in accordance with a Certificate of Authorization issued by the FAA. At a point in the mission the UAV descended to FL190 without an ATC clearance. At the time of this violation; we lost a control link (Return Link Lost) with the aircraft. As we were then unable to verify the aircraft's position or obtain critical flight information; the command link with the vehicle was disabled releasing it on its Emergency Mission profile in accordance with the approved emergency checklist. The vehicle than began squawking 7600 and entered autonomous flight preceding direct to the assigned emergency mission loiter point and descended to a preprogrammed altitude of FL190.","The reporter advised that the (remote) command link with the UAV was lost for several minutes. This command link allows the aircraft to be flown by a PIC approximately 1;000 miles away using satellite relayed commands. It was this link that was lost and the aircraft was then released to its pre-programmed emergency rendezvous point where it would then be picked up visually and landed by on site operators. In this case the command link was regained after several minutes and the aircraft flown directly by the PIC to a point where it could be visually acquired by the on site crew and was landed safely. Maintenance investigation is then required to ascertain the reason for the lost link before the aircraft is again released for flight operations.",,,"A government UAV lost the command link to its flight crew. Remote guidance was disabled and the vehicle was released to autonomous control for the balance of its flight.",
1003371,201204,0001-0600,ZZZ.ARTCC,US,,,,12000,,VMC,,,Night,30000,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Descent,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Government,Pilot Flying,Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 25; Flight Crew Total 2100; Flight Crew Type 300,,Communication Breakdown; Distraction; Time Pressure; Workload,Party1 Flight Crew; Party2 ATC,,1003371,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented,Human Factors,Human Factors,"Pilot was cleared to descend and maintain 15;000 MSL while still on an active IFR flight plan. Pilot initialized descent from 18;000 FT as part of UAV chase and recovery procedures with chase aircraft providing visual separation services. Pilot was involved with checklists and rushed during descent phase. Pilot continued descent through 15;000 FT and forgot to contact ATC to cancel IFR as intended. Controller asked pilot to advise of intentions when descending through 12;000 FT. Pilot notified Controller to cancel IFR; Controller advised IFR cancellation received; maintain VFR. No further incident. Pilot was in VMC and maintaining visual separation from any other aircraft in the area through the use of a chase aircraft and radar feed as allowed by FAA Certificate of Authorization. Contributing factors were the complicated procedures required by the Certificate of Authorization chase requirement and the pilot's attempt to rush through the process including checklists and procedures required for descent and landing. CRM was utilized to resolve the error when the pilot not flying alerted the pilot flying to the fact that ATC was calling for him. Corrective actions include slowing down on checklist items and not allowing pilot to be rushed. Also cancel IFR as soon as allowable in descent process.",,,,"A UAV pilot overloaded with checklist and descent procedures failed to cancel his IFR clearance with ATC.",
1003828,201204,1801-2400,ZZZ.ARTCC,US,,,,7000,,,,,,,,Center ZZZ,Military,UAV - Unpiloted Aerial Vehicle,,,,IFR,Training,,Descent,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZZZ.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Communication Breakdown; Confusion; Human-Machine Interface; Situational Awareness,Party1 ATC; Party2 Other,,1003828,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Other / Unknown,,,,,General None Reported / Taken,Aircraft; Procedure; Human Factors; Airspace Structure,Ambiguous,"These UAV missions are planned and handled erratically. Sometimes they involve Special Use Airspace; which is called up in advance - or not called up in advance. The flight plan usually shows a TAS of 130; however observed ground speeds correspond to approximately 190 KTAS while enroute. The 'missions' often involve non-RADAR operations in Class 'D' airspace; but frequently these facilities have no information on the flight. The fact that the operator has real-time knowledge of the position of the aircraft is of limited value if we have to use a commercial line to reach them; have responsibility to relay such information; and the line is busy.We have never had the 'lost link' procedure available at the sector. If these flights are to be handled as 'normal' operations; then off-airways routing in areas without RADAR or RCAG coverage are not acceptable where it harms our ability to move IFR traffic in and out of airports. TAS errors on the order of 50% are not acceptable. If they're not 'normal;' then the operator or missions desk needs to ensure that coordination with adjacent facilities is complete and timely. Sectors need concise; accurate information; including the lost link procedure. These operations have been allowed to deteriorate; with half-baked verbal briefings becoming the norm. This agency and others have historically conducted offshore law enforcement operations; with manned aircraft; under due regard - is that an option?",,,,"ARTCC Controller reported numerous issues with UAV aircraft mission control and coordination.",
1006394,201204,1201-1800,ZMP.ARTCC,MN,,,,21000,,Mixed,,,Daylight,,,Center ZMP,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,None,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,Other Virtual Flight Deck,Government,Trainee,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 120; Flight Crew Total 5500; Flight Crew Type 9,,Training / Qualification; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1006394,Company,Other Virtual Flight Deck,Government,Instructor,Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Commercial,Flight Crew Last 90 Days 50; Flight Crew Total 4300; Flight Crew Type 3300,,,,,1006401,Airspace Violation All Types,,N,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented,Airspace Structure; Human Factors,Human Factors,"Our MQ-9 Predator aircraft was cleared to operate in ATC blocks M1; M2 and M3 from FL200 to FL220. The aircraft was piloted by myself as a pilot under instruction. Training was being conducted by the instructor pilot during the transit east through our assigned airspace. The aircraft continued east from block M3 to M4 and the aircrew discussed that we had not yet asked for this block. Minneapolis Center was immediately contacted to obtain clearance from blocks M1; 2; 3 to blocks M4; 5 and 6. ATC noted that we were in block M4 and verified that our current clearance was for blocks M1-3 and then gave us clearance to operate in blocks M4-6.",,"While flying eastbound at an altitude of FL210 with an airspace clearance of Mike 1; 2; 3 North; Block Altitude of FL200-FL220; the aircraft penetrated Mike 4 by approximately 6 NM. Leading up to this incident; as the instructor; I was leading a discussion on Aircraft Systems; with all crew members. I had diverted my attention to the technical manual reviewing the discussion. While involved with the discussion; the co-pilot notified me that we had entered Mike 4N. The student pilot immediately began a westbound turn to exit the airspace. I instructed the student to contact ATC and request Mike 4; 5; 6 North; same altitude. Upon ATC's receipt of the request; they notified us that we were already in Mike 4 North. The student responded with; 'Roger; request to add Mike 5; 6 North.' ATC responded with; 'Request approved; please verify previous clearance.' The student then responded with; 'Flight XXX is showing Mike 1-3 North.'",,"A UAV pilot receiving instruction allowed the aircraft to stray into airspace outside of that for which it had been cleared.",
